Problema,Solver,Status,Tempo_Segundos,Valor_Objetivo,F_Star,Gap,Dual_Infeasibility,Primal_Infeasibility,Iteracoes,Timestamp
ex6_2_10,Ipopt,LOCALLY_SOLVED,0.0063384,-3.0519761257399804,-3.052,5.891969402664426e-6,-3.05197666761454,NaN,17,2026-05-23T06:18:42.296
ex6_2_11,Ipopt,LOCALLY_SOLVED,0.0042079,-2.6755481089693154e-6,0.0,2.6755481089693154e-6,-2.9473483711901555e-6,NaN,10,2026-05-23T06:18:42.320
ex6_2_12,Ipopt,LOCALLY_SOLVED,0.0066359,0.28919474850159466,0.2892,4.073455170149267e-6,0.28919444115124626,NaN,14,2026-05-23T06:18:42.351
ex6_2_13,Ipopt,LOCALLY_SOLVED,0.0052118,-0.21620943687699165,-0.2162,7.759313428422566e-6,-0.2162094368854176,NaN,7,2026-05-23T06:18:42.389
ex6_2_14,Ipopt,LOCALLY_SOLVED,0.0173225,-0.6953580850192926,-0.6954,2.472276790573341e-5,-0.8111030229188991,NaN,22,2026-05-23T06:18:42.434
ex6_2_5,Ipopt,LOCALLY_SOLVED,0.0208379,-70.75207783301494,-70.7521,3.0893848489095824e-7,-70.75207833338851,NaN,21,2026-05-23T06:18:42.519
ex6_2_6,Ipopt,LOCALLY_SOLVED,0.0061857,7.106089009136065e-7,0.0,7.106089009136065e-7,5.962787139351218e-7,NaN,5,2026-05-23T06:18:42.562
ex6_2_7,Ipopt,LOCALLY_SOLVED,0.0118574,-0.16084761544151482,-0.1608,4.101950509547342e-5,-0.1608482910625082,NaN,15,2026-05-23T06:18:42.661
ex6_2_8,Ipopt,LOCALLY_SOLVED,0.0107281,-0.027006349464176238,-0.027,6.182535712013979e-6,-0.027006550213676015,NaN,9,2026-05-23T06:18:42.706
ex6_2_9,Ipopt,LOCALLY_SOLVED,0.0155521,-0.034066184014607905,-0.0341,3.270088520655048e-5,-0.03406652954500968,NaN,15,2026-05-23T06:18:42.770
ex7_2_1,Ipopt,LOCALLY_SOLVED,0.034279,1227.2254372624395,1227.1896,2.9178933317461514e-5,-16671.530407595947,NaN,32,2026-05-23T06:18:42.861
ex7_2_2,Ipopt,LOCALLY_SOLVED,0.0136356,-0.38881134430338415,-0.3888,8.168421215564054e-6,-2.936040779133669e-7,NaN,12,2026-05-23T06:18:42.905
ex7_2_3,Ipopt,LOCALLY_SOLVED,0.0148924,7049.247655710496,7049.2181,4.192169671391455e-6,-12284.690157728917,NaN,25,2026-05-23T06:18:43.046
ex7_2_4,Ipopt,LOCALLY_SOLVED,0.0258997,4.202853392667232,3.918,0.057920575979510384,0.01257323972019198,NaN,29,2026-05-23T06:18:43.104
ex7_3_1,Ipopt,LOCALLY_SOLVED,0.0223785,0.3417399005772451,0.3417,2.973882182687799e-5,0.8360141145065089,NaN,35,2026-05-23T06:18:43.161
ex7_3_2,Ipopt,LOCALLY_SOLVED,0.0102964,1.089864272543667,1.0899,1.7095294671122475e-5,4.779895542089641,NaN,14,2026-05-23T06:18:43.220
ex7_3_3,Ipopt,LOCALLY_SOLVED,0.0058264,1.1447800131395445,0.8175,0.18007153405201898,0.8793668191805031,NaN,8,2026-05-23T06:18:43.260
ex7_3_4,Ipopt,OTHER_ERROR,0.0069963,0.0,6.2746,0.8625353971352376,0.0,NaN,1,2026-05-23T06:18:43.481
ex7_3_5,Ipopt,OTHER_ERROR,0.0055596,0.0,1.2036,0.546197131965874,0.0,NaN,1,2026-05-23T06:18:43.617
ex7_3_6,Ipopt,LOCALLY_INFEASIBLE,0.050684,-3.0997171972481133e-9,0.0,3.0997171972481133e-9,0.03177335965065042,NaN,94,2026-05-23T06:18:43.784
ex8_1_1,Ipopt,LOCALLY_SOLVED,0.0028296,-2.0218067141488185,-2.0218,2.221903772155127e-6,-2.16988606947076,NaN,6,2026-05-23T06:18:43.798
ex8_1_2,Ipopt,LOCALLY_SOLVED,0.0055679,-0.7969798941343352,-1.0709,0.13227104440854928,0.0,NaN,11,2026-05-23T06:18:43.816
ex8_1_3,Ipopt,LOCALLY_SOLVED,0.0520337,839.9999999999249,3.0,209.2499999999812,0.0,NaN,117,2026-05-23T06:18:43.882
ex8_1_4,Ipopt,LOCALLY_SOLVED,0.0013849,0.0,0.0,0.0,0.0,NaN,0,2026-05-23T06:18:43.896
ex8_1_5,Ipopt,LOCALLY_SOLVED,0.0015705,0.0,-1.0316,0.5077771214806064,0.0,NaN,0,2026-05-23T06:18:43.909
ex8_1_6,Ipopt,LOCALLY_SOLVED,0.0036003,-5.065439735221009,-10.086,0.45287391888679335,0.0,NaN,8,2026-05-23T06:18:43.932
ex8_1_7,Ipopt,LOCALLY_SOLVED,0.0101051,0.029310827102857796,0.0293,1.0518899113763376e-5,0.2496423928562187,NaN,30,2026-05-23T06:18:44.061
ex8_2_1,Ipopt,ITERATION_LIMIT,5.9010081,2.8232756000026474e9,-979.1783,2.880370417485214e6,0.0048542014456999655,NaN,5000,2026-05-23T06:18:50.119
ex8_2_4,Ipopt,ERRO: LoadError,300.0,NaN,-5.83073983917e7,NaN,NaN,NaN,0,2026-05-23T06:18:50.288
ex8_3_1,Ipopt,ERRO: LoadError,300.0,NaN,-0.7937,NaN,NaN,NaN,0,2026-05-23T06:18:50.581
ex8_3_10,Ipopt,ITERATION_LIMIT,3.8081788,-6.529657760561478e8,-0.8845,3.464928496533021e8,-5.98742433300973e7,NaN,5000,2026-05-23T06:18:55.019
ex8_3_12,Ipopt,ERRO: LoadError,300.0,NaN,-0.5825,NaN,NaN,NaN,0,2026-05-23T06:18:55.200
ex8_3_13,Ipopt,ERRO: LoadError,300.0,NaN,-42.3904,NaN,NaN,NaN,0,2026-05-23T06:18:55.378
